Datei,Gruppe,Art,Ruf,Dur,Sfreq,Efreq,Stime,NMod,FMod,FRmin,Rmin,tRmin,Rlastms,Flastms,Fknee,Alphaknee,Rknee,ptknee,Fmk,Alphamk,Rmk,ptmk,Fmed,Fmidt,Fmidf,tmidf,ptmidf,PFmidt,Rmidt,Rmed,Rges,Dfm,Dqcf,Typ,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X62,X64,X66,X68,X70,X72,X74,X76,X78,X80,X82,X84,X86,X88,X90,X92,X94,X96,X98,X100,X102,X104,X106,X108,X110,X112,X114,X116,X118,X120,X122,X124,X126,X128,X130,X132,X134,X136,X138,X140,X142,X144,X146,X148
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00024.raw,Nyctaloid,Eser,39,3.5000002,41.440052,30.7304173,4997.1796875,54.0,30.0,30.0839539,0.1626205,-0.5,1.6692734,30.6648026,35.0944061,8.1048794,-0.4108977,0.3333333,31.1161156,-2.5434642,-0.2326076,0.7222222,33.389061,33.389061,35.7579384,1.1,0.3142857,0.2915497,-0.3054323,-0.315239,-0.3059896,3.2,0.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.25,54.0,51.25,34.5,32.75,30.5,24.25,21.25,21.0,18.75,17.0,14.25,7.5,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00024.raw,Nyctaloid,Eser,38,4.6005001,53.4445534,29.3666954,4927.2509766,51.75,30.0,30.569191,0.0373459,-0.4000001,0.9658432,30.6439915,43.4495888,12.1294508,-0.9781322,0.1702128,30.5673237,-13.6986208,-0.1763601,0.893617,35.0739288,35.0739288,41.4056244,1.1,0.2391044,0.2370324,-0.3880901,-0.3894005,-0.5234317,4.0999999,0.7,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.0,51.75,49.0,37.0,33.25,29.25,26.0,23.5,21.75,19.25,16.25,15.0,14.0,11.75,10.25,10.0,9.5,8.0,7.75,8.5,7.25,6.5,7.25,6.5,3.75,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00024.raw,Nyctaloid,Eser,37,4.9000001,49.6023178,30.0556068,4843.1787109,56.0,30.0,29.6274834,1.0948372,-0.5,1.0714149,29.7390556,42.9918442,14.4750633,-0.89008,0.12,33.6107712,-0.5257306,-0.2934437,0.52,34.0377655,34.0377655,39.53825,1.2,0.244898,0.2267265,-0.311954,-0.3141212,-0.3989125,4.4000001,0.8,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.75,52.25,56.0,44.0,38.0,33.75,31.25,27.5,24.5,22.25,18.75,16.5,15.5,15.0,13.25,9.75,9.0,10.0,9.25,8.75,8.25,5.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00024.raw,Nyctaloid,Eser,36,5.7005005,45.004921,32.8034286,4757.1899414,100.75,31.0,29.8320503,1.3876915,-2.1000001,-1.2398911,32.0595016,40.2549744,8.6696205,-0.6809278,0.1034483,31.9355145,-3.2179213,0.1527314,0.862069,32.3874969,31.4797993,37.3837929,1.2,0.2105078,0.1126562,-0.2814922,-0.2520905,-0.2140613,3.7,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,44.75,90.0,100.75,81.25,48.5,29.25,26.5,22.5,19.5,18.5,16.5,14.0,12.5,12.25,12.5,9.5,3.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00024.raw,Nyctaloid,Eser,31,5.9000001,35.3448181,27.0916424,4245.9755859,101.0,27.0,26.2598839,0.2919006,-0.9000001,-0.0482178,26.3331852,33.8029976,5.6571798,-0.2503071,0.0833333,26.940897,-7.1088161,-0.1038218,0.7666667,28.6713448,28.6713448,30.7315941,1.9,0.3220339,0.2767016,-0.1343503,-0.1539173,-0.1398843,3.9000001,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.75,96.25,101.0,75.25,60.5,49.75,42.75,39.75,40.0,31.25,14.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00024.raw,Nyctaloid,Eser,35,6.3005004,49.0161209,29.0676994,4671.6547852,99.25,28.0,27.7848701,1.0336113,-1.0999999,-1.2062454,28.3439522,42.0795937,13.3171873,-0.9150004,0.09375,28.3439522,-1.8034432,0.1366577,0.890625,31.3725471,31.3725471,38.3746567,1.2,0.1904611,0.1709989,-0.2348447,-0.2332821,-0.3166416,5.3000002,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,55.25,99.25,81.75,51.5,41.5,36.5,34.0,29.25,24.25,22.75,21.5,18.5,16.5,14.75,12.5,10.5,9.0,8.5,8.25,8.0,8.0,6.25,2.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00062.raw,Nyctaloid,Eser,5,6.6000628,33.4308968,24.4948807,1026.0396729,113.0,26.0,26.5339813,0.0867844,-2.5,0.7320023,25.2189999,29.4221344,7.2612376,-0.1909199,0.2537313,26.4942436,-5.3276615,-0.079968,0.641791,27.2463474,27.2463474,28.9628887,2.1000001,0.3181788,0.3079076,-0.1372972,-0.1313896,-0.1353942,3.0,1.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,57.5,110.75,113.0,93.25,72.0,54.0,47.25,42.0,35.25,20.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00024.raw,Nyctaloid,Eser,1,7.0000005,45.3580704,27.8812733,45.3536263,93.0,28.0,27.0719318,0.2104568,-0.5,0.7344818,27.3251591,37.0743828,11.2492142,-0.4779906,0.1690141,27.7957077,-3.0890887,-0.1035228,0.8309859,31.0423717,31.0423717,36.2097397,1.5,0.2142857,0.2175786,-0.1922379,-0.195405,-0.2496685,5.7000003,0.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,90.25,93.0,70.0,58.25,48.5,42.0,40.0,38.5,33.0,26.0,19.5,16.25,15.75,14.0,12.0,12.0,13.75,13.25,7.25,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00051.raw,Nyctaloid,Eser,16,7.0000005,45.1151619,27.5311165,1847.8267822,82.75,28.0,28.2809029,0.1233101,-1.0999999,0.9044838,27.813282,33.1259918,12.7219648,-0.2308469,0.3802817,27.5311165,-8.6956472,-0.0193415,1.0,31.5873528,31.5873528,36.2543602,1.8000001,0.2571428,0.2366488,-0.2712994,-0.1922741,-0.2512006,4.5999999,0.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,60.25,82.75,82.0,69.75,52.5,45.75,40.5,33.25,31.25,27.5,23.75,23.25,21.25,18.5,16.75,16.5,17.0,12.75,4.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/Volumes/MobileCallLib/RufanalyseReferenz2015/AssortedRecordings/140609-TROENDELDX-00024.raw,Nyctaloid,Eser,34,7.0000005,44.5032387,30.9861431,4576.8647461,111.0,29.0,28.0355034,0.2147865,-1.5999999,-2.7480316,29.3373241,40.1311035,18.5562057,-0.8235445,0.056338,28.9023895,-3.4612007,-0.1119545,0.6478873,30.71134,30.3864517,36.1425018,1.3000001,0.1857143,0.1557692,-0.1887341,-0.1958094,-0.1931014,4.4000001,1.3000001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.75,58.75,110.75,111.0,83.0,57.25,42.5,37.75,33.5,29.5,25.0,21.5,19.5,16.0,12.0,9.75,8.5,7.25,4.5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
